ResponseId,EdLevelNum,BinnedSalary_$1K,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp
37729,4 Bachelorï¿½ï,230,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I donï¿½ï¿½ï¿½t code outside o,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","School (i.e., University, College, etc)",,,7,4,"Developer, front-end;Developer, full-stack;Developer, back-end","10,000 or more employees",I have little or no influence,Ask developers I know/work with,United States of America,"USD	United States dollar",230000,Yearly,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,C++;Java;Kotlin;Python;Rust;TypeScript,Elasticsearch;MySQL;Redis,Elasticsearch;MySQL;Redis,AWS;Firebase,AWS;Firebase,Django;Flask;Node.js;React.js,Django;FastAPI;Flask;Next.js;React.js;Vue.js,Apache Kafka;Spring,Apache Kafka;NumPy;Pandas;React Native;Spring,Docker;npm;Terraform,npm;Terraform,IntelliJ;PyCharm;Visual Studio Code,IntelliJ;PyCharm;Visual Studio Code;Webstorm,macOS,Windows,Git,Command-line,,,Confluence;Stack Overflow for Teams,Stack Overflow for Teams,Google Chat;Slack;Zoom,Google Chat;Slack;Zoom,Unsure,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Woman,No,Bisexual,White,None of the above,I have an anxiety disorder,No,,
37745,2 College study,240,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects;Freelance/contract work;School or academic work,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)","Technical documentation;Blogs;Programming Games;Written Tutorials;Online books;Online challenges (e.g., daily or weekly coding challenges)",,25,22,"Developer, full-stack;Developer, back-end;Developer, embedded applications or devices",2 to 9 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",240000,Yearly,Bash/Shell;C;C++;Go;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;R;SQL,Bash/Shell;C;C++;Go;HTML/CSS;Java;JavaScript;MATLAB;Python;R;SQL,MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,AWS;Firebase;Google Cloud;Microsoft Azure;OpenStack,AWS;Firebase;Google Cloud;OpenStack,Angular;jQuery;React.js,Angular;jQuery,Apache Kafka;Electron;Hadoop;Keras;NumPy;Pandas;Scikit-learn;Spring;TensorFlow;Torch/PyTorch,Apache Kafka;Electron;Hadoop;Keras;NumPy;Pandas;Scikit-learn;Spring;TensorFlow;Torch/PyTorch,Docker;Homebrew;Kubernetes;npm;Terraform;Unity 3D;Unreal Engine,Docker;Homebrew;Kubernetes;npm;Terraform;Unity 3D;Unreal Engine,Atom;CLion;GoLand;IntelliJ;IPython/Jupyter;PhpStorm;PyCharm;Sublime Text;Vim;Webstorm,Atom;CLion;GoLand;IntelliJ;IPython/Jupyter;PhpStorm;PyCharm;Sublime Text;Vim;Webstorm,Linux-based;macOS,Linux-based;macOS,Git,Code editor;Command-line,,,monday.com,monday.com,Microsoft Teams;Slack,Slack,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",45-54 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,No,,
37747,4 Bachelorï¿½ï,150,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Bootstrapping a business,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Stack Overflow;How-to videos;Written-based Online Courses,,25,23,"Developer, full-stack","5,000 to 9,999 employees",I have some influence,Start a free trial,United States of America,"USD	United States dollar",150000,Yearly,C#;HTML/CSS;Java;JavaScript;Objective-C;PHP;PowerShell;SQL;Swift;TypeScript,C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Swift;TypeScript,Elasticsearch;Microsoft SQL Server;MySQL,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL,AWS;DigitalOcean,AWS,Angular;ASP.NET;ASP.NET Core ;Laravel;Symfony;Vue.js,Laravel;Symfony;Vue.js,.NET;Spring,.NET;Spring,Docker;Homebrew;npm;Puppet;Terraform,Docker;Yarn,Android Studio;Eclipse;Notepad++;Visual Studio;Visual Studio Code;Xcode,Eclipse;Notepad++;Visual Studio;Visual Studio Code;Xcode,Windows,macOS,Git,Code editor;Command-line,,,Confluence;Jira Work Management,Confluence;Jira Work Management,Google Chat;Microsoft Teams;Slack;Zoom,Microsoft Teams,Favorable,Stack Overflow,Daily or almost daily,Not sure/can't remember,,"No, not at all",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",Yes,Independent contributor,23
37757,4 Bachelorï¿½ï,60,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,Contribute to open-source projects,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Online forum;Written-based Online Courses,,27,25,"Developer, back-end","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial;Ask developers I know/work with,United States of America,"USD	United States dollar",60000,Yearly,JavaScript;PHP,JavaScript;PHP,MySQL,MySQL,,,,,,,npm,npm,Sublime Text;Vim,Sublime Text;Vim,macOS,macOS,Git,Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Asana,Asana,Google Chat;Slack;Zoom,Google Chat;Slack;Zoom,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Not sure/can't remember,,"No, not really",45-54 years old,Woman,No,Straight / Heterosexual,White,None of the above,None of the above,,,
37758,4 Bachelorï¿½ï,125,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Colleague",Technical documentation;Blogs;Programming Games;Written Tutorials;Online books;Interactive tutorial;Other (Please specify):,,7,6,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications","1,000 to 4,999 employees",I have little or no influence,Other (please specify):;Ask developers I know/work with,United States of America,"USD	United States dollar",125000,Yearly,HTML/CSS;Python;Rust;Scala,Rust,MySQL,,Google Cloud,,,,Apache Spark,,Docker;Kubernetes,,IntelliJ;Neovim;Vim;Visual Studio Code,Neovim;Vim,Linux-based;macOS;Windows,Linux-based;macOS;Windows,Git,Command-line,,,,,Slack;Zoom,,Very unfavorable,Stack Overflow;Stack Exchange,A few times per week,No,,"No, not at all",25-34 years old,Prefer not to say,No,Straight / Heterosexual,White;Ethnoreligious group,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have a concentration and/or memory disorder (e.g., ADHD, etc.)",No,,
37762,2 College study,170,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Bootstrapping a business,Some college/university study without earning a degree,Other (please specify):,,,42,25,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end;Engineering manager;Cloud infrastructure engineer;Data or business analyst",20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",170000,Yearly,Bash/Shell;Python;SAS;SQL,Bash/Shell;Go;Python;SAS;SQL,PostgreSQL,PostgreSQL,AWS;Microsoft Azure,AWS,,,NumPy;Pandas,NumPy;Pandas,Homebrew,Docker;Homebrew;Kubernetes;Unity 3D,Spyder;Xcode,Spyder,Linux-based;macOS,macOS,Git,Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Confluence;monday.com,Confluence;Jira Work Management,Cisco Webex Teams;Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack,Very favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",55-64 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,40
37779,4 Bachelorï¿½ï,150,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Hackathons (virtual or in-person)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded)",,10,6,"Developer, front-end;Developer, full-stack;Developer, back-end",500 to 999 employees,I have some influence,Start a free trial;Ask developers I know/work with,United States of America,"USD	United States dollar",150000,Yearly,C#;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Swift;TypeScript,C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;TypeScript,Elasticsearch;MongoDB,Elasticsearch;MongoDB;PostgreSQL;Redis,Google Cloud;Microsoft Azure,,Angular;React.js,Express;React.js;Vue.js,Spring,.NET;React Native;Spring;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Docker;Kubernetes;Unity 3D,Docker;Kubernetes;Unity 3D;Unreal Engine,Android Studio;IntelliJ;PyCharm;Rider;Visual Studio;Visual Studio Code,Android Studio;IntelliJ;PyCharm;Rider;Visual Studio;Visual Studio Code,macOS,Linux-based;Windows;Windows Subsystem for Linux (WSL),Git,Command-line,,,Confluence;Jira Work Management;Notion;Trello,Notion;Trello,Microsoft Teams;Slack;Zoom,Slack,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,10
37781,4 Bachelorï¿½ï,240,I am a developer by profession,I prefer not to say,,,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Other (please specify):",Technical documentation;Programming Games;Written Tutorials;Interactive tutorial,,15,10,,"10,000 or more employees",I have some influence,Other (please specify):;Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd;Research companies that have emailed me,United States of America,"USD	United States dollar",240000,Yearly,Bash/Shell;HTML/CSS;JavaScript;Python;TypeScript,Go;JavaScript;Kotlin;Python;Rust;TypeScript,DynamoDB,DynamoDB,AWS,AWS,jQuery;Node.js;React.js,FastAPI;Fastify;Gatsby;Node.js;React.js;Vue.js,Apache Spark,Apache Kafka;Capacitor;Pandas;React Native;Torch/PyTorch;Hugging Face Transformers,Docker;Homebrew;Kubernetes;npm;Terraform;Yarn,Ansible;Docker;Homebrew;Kubernetes;npm;Pulumi;Terraform;Yarn,IPython/Jupyter;Visual Studio Code,IPython/Jupyter;Visual Studio Code,Linux-based;macOS,Linux-based;macOS,Git,Command-line,,,Asana;Confluence;Jira Work Management,Asana;Confluence;Jira Work Management;monday.com,Google Chat;Slack;Zoom,Zoom,Indifferent,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,Neutral,25-34 years old,Man,No,Queer,"Or, in your own words:",None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",Yes,Independent contributor,10
37782,4 Bachelorï¿½ï,130,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","School (i.e., University, College, etc);On the job training",,,12,7,"Developer, full-stack;Other (please specify):","10,000 or more employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd;Research companies that have emailed me,United States of America,"USD	United States dollar",130000,Yearly,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL,C#,Microsoft SQL Server;PostgreSQL,,AWS,,React.js,,.NET;Electron,.NET,Docker;npm;Unity 3D;Yarn,,Notepad++;Rider;Visual Studio;Visual Studio Code;Webstorm,Notepad++;Rider;Webstorm,Windows,Windows,Git,Code editor;Command-line,,,Confluence;Jira Work Management,Confluence;Jira Work Management,Microsoft Teams;Slack;Zoom,Slack,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Not sure/can't remember,,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,5
37783,4 Bachelorï¿½ï,2250,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Stack Overflow;How-to videos;Coding sessions (live or recorded),,6,2,"Developer, front-end;Developer, full-stack;Developer, back-end;Educator;Designer",100 to 499 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",82600,Weekly,C#;C++;HTML/CSS;JavaScript;PHP;Python;TypeScript,C#;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server;MongoDB,Microsoft SQL Server;MongoDB,Google Cloud;Microsoft Azure,Google Cloud;Microsoft Azure,Express;jQuery;Next.js;Node.js;React.js,Express;Next.js;Node.js;React.js,.NET,.NET,Docker;npm;Yarn,Docker;npm;Yarn,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,macOS;Windows,macOS;Windows,Git,Code editor;Command-line,,,,,Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack,Indifferent,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,No,,
37785,4 Bachelorï¿½ï,94,I am a developer by profession,"Employed, full-time",Full in-person,Hobby;Freelance/contract work,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training","Technical documentation;Blogs;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial",,6,6,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",94500,Yearly,C#;HTML/CSS;JavaScript;PowerShell;Solidity;SQL;TypeScript,Go;HTML/CSS;JavaScript;Solidity;TypeScript,DynamoDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,DynamoDB;Microsoft SQL Server,AWS;DigitalOcean;Firebase,AWS,ASP.NET;jQuery;Next.js;Node.js;React.js;Vue.js,React.js,Electron,,npm;Yarn,Docker;Kubernetes,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),macOS;Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Confluence;Jira Work Management,,Microsoft Teams;Slack,Slack,Very favorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,6
37787,4 Bachelorï¿½ï,46,I am a developer by profession,"Employed, full-time",Full in-person,I donï¿½ï¿½ï¿½t code outside o,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Online forum;How-to videos,Other,6,1,"Developer, front-end;Developer, desktop or enterprise applications",500 to 999 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",46000,Yearly,C#;HTML/CSS;Java;JavaScript;SQL,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL,Microsoft SQL Server;Oracle,,,,ASP.NET Core ;jQuery,ASP.NET Core ;Blazor;React.js,,,,,NetBeans;Notepad++;Visual Studio,IntelliJ;Sublime Text;Vim;Visual Studio;Visual Studio Code,Windows,macOS;Windows,Git,Code editor,,,,,Cisco Webex Teams;Microsoft Teams;Zoom,Microsoft Teams;Slack,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Not sure,25-34 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a,None of the above,"Or, in your own words:",Yes,Independent contributor,2
37788,2 College study,90,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Some college/university study without earning a degree,"Books / Physical media;School (i.e., University, College, etc);On the job training;Coding Bootcamp",,,5,4,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications","5,000 to 9,999 employees",I have little or no influence,,United States of America,"USD	United States dollar",90000,Yearly,C#;HTML/CSS;JavaScript;SQL,C#;Rust;SQL,IBM DB2;Microsoft SQL Server;MySQL;Oracle;SQLite,SQLite,,,jQuery,,.NET,.NET,,,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,,,Microsoft Teams,Microsoft Teams,Indifferent,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Neutral,35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,22
37790,4 Bachelorï¿½ï,110,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;School or academic work,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;How-to videos;Interactive tutorial,,34,14,"Developer, full-stack;Educator;Developer, game or graphics",2 to 9 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",110000,Yearly,C#;HTML/CSS;Java;JavaScript;PHP,C#;Java;PHP,MySQL,MySQL,AWS,AWS;DigitalOcean,jQuery,jQuery,.NET;Uno Platform,Uno Platform,Unity 3D,Unity 3D,Eclipse;Visual Studio Code;Xcode,Eclipse,Linux-based;macOS;Windows,macOS,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Trello,Trello,Google Chat;Microsoft Teams;Slack;Zoom,Google Chat;Slack,Unsure,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,Neutral,45-54 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Yes,Independent contributor,14
37795,2 College study,105,I am a developer by profession,"Employed, full-time",Fully remote,I donï¿½ï¿½ï¿½t code outside o,Some college/university study without earning a degree,Online Courses or Certification;Coding Bootcamp;Other (please specify):,,Udemy;Other,3,3,"Developer, front-end;Developer, full-stack",100 to 499 employees,I have little or no influence,Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",105000,Yearly,HTML/CSS;JavaScript;PowerShell;TypeScript,,,,Google Cloud,,Angular,,,,,,Visual Studio Code,,,Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Notion,,Microsoft Teams;Slack,,Very unfavorable,Stack Overflow,Daily or almost daily,No,,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,No,,
37796,4 Bachelorï¿½ï,97,I am a developer by profession,"Employed, full-time",Fully remote,I donï¿½ï¿½ï¿½t code outside o,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","School (i.e., University, College, etc)",,,8,5,"Developer, full-stack",100 to 499 employees,I have some influence,Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",97000,Yearly,C#;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,JavaScript;SQL;TypeScript,IBM DB2;MongoDB;MySQL,MySQL,Microsoft Azure,,Angular;React.js,React.js,,,npm,npm,PhpStorm;Rider;Visual Studio;Visual Studio Code;Webstorm,PhpStorm;Rider;Webstorm,Windows,macOS,Git,Dedicated version control GUI application,,,,,Google Chat;Microsoft Teams;Slack,Slack,Indifferent,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,,Yes,Independent contributor,5
37797,5 Masterï¿½ï,130,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Bootstrapping a business,"Masterï¿½ï¿½ï¿½s degree (M.A., M.S., M.Eng., MBA,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague","Technical documentation;Blogs;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded);Certification videos",,18,11,"Developer, full-stack;Database administrator;Blockchain","5,000 to 9,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",130000,Yearly,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;VBA,C#;HTML/CSS;JavaScript;PowerShell;Ruby;SQL;TypeScript,DynamoDB;Microsoft SQL Server;MySQL;SQLite,DynamoDB;Microsoft SQL Server;MySQL;SQLite,AWS;Microsoft Azure,AWS;Google Cloud;Microsoft Azure,ASP.NET;ASP.NET Core ;jQuery;Node.js;React.js;Vue.js,Angular.js;ASP.NET;ASP.NET Core ;jQuery;Node.js;React.js;Ruby on Rails;Vue.js,.NET,.NET;Electron;React Native;Xamarin,npm;Terraform;Yarn,npm;Yarn,Eclipse;PyCharm;Visual Studio;Visual Studio Code;Xcode,Visual Studio;Visual Studio Code,Windows,Linux-based;Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Airtable;Confluence;Jira Work Management;Trello,Airtable;Jira Work Management;Trello,Google Chat;Microsoft Teams;Slack;Zoom,Google Chat;Microsoft Teams;Slack;Zoom,Very favorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,11
37799,4 Bachelorï¿½ï,100,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Technical documentation;Blogs;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Coding sessions (live or recorded)",,7,5,"Developer, full-stack",100 to 499 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow,United States of America,"USD	United States dollar",100000,Yearly,HTML/CSS;JavaScript;Ruby;Swift;TypeScript,,PostgreSQL;Redis,,AWS;Google Cloud;Heroku,,jQuery;Ruby on Rails;Vue.js,,,,Homebrew;npm;Yarn,,Atom;Xcode,,,macOS,Git,Command-line,,,,,Slack;Zoom,,Indifferent,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",55-64 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,No,,
37802,4 Bachelorï¿½ï,80,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I donï¿½ï¿½ï¿½t code outside o,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","School (i.e., University, College, etc)",,,7,2,"Developer, full-stack",100 to 499 employees,I have little or no influence,Ask developers I know/work with,United States of America,"USD	United States dollar",80000,Yearly,C#;JavaScript,C++;Python,Microsoft SQL Server,,Microsoft Azure,AWS,Angular.js;ASP.NET;jQuery;Node.js,,.NET,TensorFlow,,,Visual Studio;Visual Studio Code,,Windows,Windows,Git,Code editor;Command-line,,,,,Microsoft Teams,,Indifferent,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,White,None of the above,I have an anxiety disorder,Yes,Independent contributor,2
37804,4 Bachelorï¿½ï,2250,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Colleague",Technical documentation;Blogs;Stack Overflow;Online books;How-to videos,,4,2,"Developer, full-stack;Cloud infrastructure engineer;Blockchain",2 to 9 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow,United States of America,"USD	United States dollar",150000,Weekly,C#;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Go;HTML/CSS;JavaScript;Rust;TypeScript,Elasticsearch;MongoDB;PostgreSQL;Redis,Elasticsearch;MongoDB;PostgreSQL;Redis,AWS;Heroku,AWS,ASP.NET Core ;Express;Next.js;Node.js;Nuxt.js;Vue.js,Fastify;Next.js;Node.js;Phoenix,.NET;NumPy;TensorFlow,TensorFlow,Docker;npm;Yarn,Docker;Yarn,IPython/Jupyter;Visual Studio Code,IPython/Jupyter;Visual Studio Code,macOS,macOS,Git,Code editor;Command-line,,,Notion,Notion,Slack,Slack,Favorable,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",Yes,Independent contributor,2
