,checking_account_status,duration_months,credit_history,purpose,amount,savings_account_status,present_employment_since,installment_rate,other_debtors,present_residence_since,property,age_years,other_installment_plans,housing,num_existing_credits_this_bank,job,num_dependants,telephone,foreign_worker,good_or_bad,personal_status,gender,present_employment_since_numeric,good_loan
255,0-200,60,delay in paying off in the past,radio/television,7418,unknown/no savings account,1-4 yrs,1,none,1,real estate,27,none,rent,1,unskilled - resident,1,none,yes,good,single,male,2,1
256,No account,24,critical account/other credits existing (not at this bank),radio/television,2684,<100,1-4 yrs,4,none,2,real estate,35,none,rent,2,unskilled - resident,1,none,yes,good,single,male,2,1
257,<0,12,all credits at this bank paid back duly,radio/television,2149,<100,1-4 yrs,4,none,1,unknown/no property,29,none,free,1,skilled employee / official,1,none,yes,bad,divorced/separated,male,2,0
258,No account,15,existing credits paid back duly till now,car (used),3812,100-500,<1 yr,1,none,4,car or other,23,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,1,1
259,No account,11,critical account/other credits existing (not at this bank),radio/television,1154,100-500,unemployed,4,none,4,real estate,57,none,rent,3,unskilled - resident,1,none,yes,good,divorced/separated/married,female,0,1
260,<0,12,existing credits paid back duly till now,furniture/equipment,1657,<100,1-4 yrs,2,none,2,real estate,27,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
261,<0,24,existing credits paid back duly till now,radio/television,1603,<100,>7 yrs,4,none,4,car or other,55,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,4,1
262,<0,18,critical account/other credits existing (not at this bank),car (new),5302,<100,>7 yrs,2,none,4,unknown/no property,36,none,free,3,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,4,1
263,No account,12,critical account/other credits existing (not at this bank),education,2748,<100,>7 yrs,2,none,4,unknown/no property,57,bank,free,3,unskilled - resident,1,none,yes,good,divorced/separated/married,female,4,1
264,No account,10,critical account/other credits existing (not at this bank),car (new),1231,<100,>7 yrs,3,none,4,real estate,32,none,rent,2,unskilled - resident,2,none,no,good,single,male,4,1
265,0-200,15,existing credits paid back duly till now,radio/television,802,<100,>7 yrs,4,none,3,car or other,37,none,rent,1,skilled employee / official,2,none,yes,bad,single,male,4,0
266,No account,36,critical account/other credits existing (not at this bank),business,6304,unknown/no savings account,>7 yrs,4,none,4,real estate,36,none,rent,2,skilled employee / official,1,none,yes,good,single,male,4,1
267,No account,24,existing credits paid back duly till now,radio/television,1533,<100,<1 yr,4,none,3,car or other,38,stores,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,1,1
268,<0,14,existing credits paid back duly till now,car (new),8978,<100,>7 yrs,1,none,4,savings agreement/life insurance,45,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",no,bad,divorced/separated,male,4,0
269,No account,24,existing credits paid back duly till now,radio/television,999,unknown/no savings account,>7 yrs,4,none,2,car or other,25,none,rent,2,skilled employee / official,1,none,yes,good,single,male,4,1
270,No account,18,existing credits paid back duly till now,car (new),2662,unknown/no savings account,4-7 yrs,4,none,3,savings agreement/life insurance,32,none,rent,1,skilled employee / official,1,none,no,good,single,male,3,1
271,No account,12,critical account/other credits existing (not at this bank),furniture/equipment,1402,500-1000,4-7 yrs,3,none,4,car or other,37,none,own,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,3,1
272,0-200,48,all credits at this bank paid back duly,car (new),12169,unknown/no savings account,unemployed,4,co-applicant,4,unknown/no property,36,none,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,0,1
273,0-200,48,existing credits paid back duly till now,radio/television,3060,<100,4-7 yrs,4,none,4,real estate,28,none,rent,2,skilled employee / official,1,none,yes,bad,single,male,3,0
274,<0,30,existing credits paid back duly till now,repairs,11998,<100,<1 yr,1,none,1,unknown/no property,34,none,rent,1,unskilled - resident,1,"yes, registered",yes,bad,divorced/separated,male,1,0
275,No account,9,existing credits paid back duly till now,radio/television,2697,<100,1-4 yrs,1,none,2,real estate,32,none,rent,1,skilled employee / official,2,none,yes,good,single,male,2,1
276,No account,18,critical account/other credits existing (not at this bank),radio/television,2404,<100,1-4 yrs,2,none,2,car or other,26,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
277,<0,12,existing credits paid back duly till now,furniture/equipment,1262,unknown/no savings account,>7 yrs,2,none,4,savings agreement/life insurance,49,none,rent,1,unskilled - resident,1,"yes, registered",yes,good,divorced/separated,male,4,1
278,No account,6,existing credits paid back duly till now,furniture/equipment,4611,<100,<1 yr,1,none,4,savings agreement/life insurance,32,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,1,0
279,No account,24,existing credits paid back duly till now,radio/television,1901,100-500,1-4 yrs,4,none,4,car or other,29,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,2,1
280,No account,15,critical account/other credits existing (not at this bank),car (used),3368,>=1000,>7 yrs,3,none,4,unknown/no property,23,none,own,2,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
281,No account,12,existing credits paid back duly till now,furniture/equipment,1574,<100,1-4 yrs,4,none,2,real estate,50,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
282,>=200,18,all credits at this bank paid back duly,radio/television,1445,unknown/no savings account,4-7 yrs,4,none,4,car or other,49,bank,rent,1,unskilled - resident,1,none,yes,good,single,male,3,1
283,No account,15,critical account/other credits existing (not at this bank),furniture/equipment,1520,unknown/no savings account,>7 yrs,4,none,4,savings agreement/life insurance,63,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
284,0-200,24,critical account/other credits existing (not at this bank),car (new),3878,100-500,<1 yr,4,none,2,car or other,37,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated,male,1,1
285,<0,47,existing credits paid back duly till now,car (new),10722,<100,<1 yr,1,none,1,real estate,35,none,rent,1,unskilled - resident,1,"yes, registered",yes,good,divorced/separated/married,female,1,1
286,<0,48,existing credits paid back duly till now,car (used),4788,<100,4-7 yrs,4,none,3,savings agreement/life insurance,26,none,rent,1,skilled employee / official,2,none,yes,good,single,male,3,1
287,0-200,48,delay in paying off in the past,others,7582,100-500,unemployed,2,none,4,unknown/no property,31,none,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,0,1
288,0-200,12,existing credits paid back duly till now,radio/television,1092,<100,1-4 yrs,4,guarantor,4,real estate,49,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
289,<0,24,delay in paying off in the past,radio/television,1024,<100,<1 yr,4,none,4,real estate,48,stores,rent,1,skilled employee / official,1,none,yes,bad,married/widowed,male,1,0
290,No account,12,existing credits paid back duly till now,business,1076,<100,1-4 yrs,2,none,2,real estate,26,none,rent,1,skilled employee / official,1,"yes, registered",no,good,married/widowed,male,2,1
291,0-200,36,existing credits paid back duly till now,car (used),9398,<100,<1 yr,1,none,4,car or other,28,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,married/widowed,male,1,0
292,<0,24,critical account/other credits existing (not at this bank),car (used),6419,<100,>7 yrs,2,none,4,unknown/no property,44,none,free,2,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,good,divorced/separated/married,female,4,1
293,>=200,42,critical account/other credits existing (not at this bank),car (used),4796,<100,>7 yrs,4,none,4,unknown/no property,56,none,free,1,skilled employee / official,1,none,yes,good,single,male,4,1
294,No account,48,critical account/other credits existing (not at this bank),business,7629,unknown/no savings account,>7 yrs,4,none,2,car or other,46,bank,rent,2,management/ self-employed/highly qualified employee/ officer,2,none,yes,good,divorced/separated,male,4,1
295,0-200,48,existing credits paid back duly till now,furniture/equipment,9960,<100,<1 yr,1,none,2,car or other,26,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,1,0
296,No account,12,existing credits paid back duly till now,car (used),4675,unknown/no savings account,<1 yr,1,none,4,car or other,20,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
297,No account,10,existing credits paid back duly till now,car (new),1287,unknown/no savings account,>7 yrs,4,co-applicant,2,savings agreement/life insurance,45,none,rent,1,unskilled - resident,1,none,no,good,single,male,4,1
298,No account,18,existing credits paid back duly till now,furniture/equipment,2515,<100,1-4 yrs,3,none,4,real estate,43,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
299,0-200,21,critical account/other credits existing (not at this bank),furniture/equipment,2745,>=1000,4-7 yrs,3,none,2,car or other,32,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
300,No account,6,existing credits paid back duly till now,car (new),672,<100,unemployed,1,none,4,real estate,54,none,rent,1,unemployed/ unskilled - non-resident,1,"yes, registered",yes,good,divorced/separated/married,female,0,1
301,0-200,36,no credits taken / paid back duly,radio/television,3804,<100,1-4 yrs,4,none,1,car or other,42,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,2,0
302,>=200,24,critical account/other credits existing (not at this bank),car (new),1344,unknown/no savings account,4-7 yrs,4,none,2,real estate,37,bank,rent,2,unskilled - resident,2,none,yes,bad,single,male,3,0
303,<0,10,critical account/other credits existing (not at this bank),car (new),1038,<100,4-7 yrs,4,co-applicant,3,savings agreement/life insurance,49,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
304,No account,48,critical account/other credits existing (not at this bank),car (new),10127,500-1000,1-4 yrs,2,none,2,unknown/no property,44,bank,free,1,skilled employee / official,1,none,yes,bad,single,male,2,0
305,No account,6,existing credits paid back duly till now,furniture/equipment,1543,>=1000,1-4 yrs,4,none,2,real estate,33,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated,male,2,1
306,No account,30,existing credits paid back duly till now,car (used),4811,unknown/no savings account,4-7 yrs,2,none,4,savings agreement/life insurance,24,stores,own,1,unskilled - resident,1,none,yes,good,divorced/separated/married,female,3,1
307,<0,12,existing credits paid back duly till now,radio/television,727,100-500,<1 yr,4,none,3,unknown/no property,33,none,rent,1,unskilled - resident,1,"yes, registered",yes,bad,married/widowed,male,1,0
308,0-200,8,existing credits paid back duly till now,furniture/equipment,1237,<100,1-4 yrs,3,none,4,real estate,24,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
309,0-200,9,existing credits paid back duly till now,car (new),276,<100,1-4 yrs,4,none,4,real estate,22,none,own,1,unskilled - resident,1,none,yes,good,married/widowed,male,2,1
310,0-200,48,existing credits paid back duly till now,others,5381,unknown/no savings account,unemployed,3,none,4,unknown/no property,40,bank,free,1,unemployed/ unskilled - non-resident,1,"yes, registered",yes,good,single,male,0,1
311,No account,24,existing credits paid back duly till now,furniture/equipment,5511,100-500,1-4 yrs,4,none,1,car or other,25,stores,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
312,>=200,24,existing credits paid back duly till now,furniture/equipment,3749,<100,<1 yr,2,none,4,car or other,26,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
313,0-200,12,existing credits paid back duly till now,car (new),685,<100,4-7 yrs,2,none,3,car or other,25,bank,rent,1,unskilled - resident,1,none,yes,bad,married/widowed,male,3,0
314,>=200,4,existing credits paid back duly till now,car (new),1494,unknown/no savings account,<1 yr,1,none,2,real estate,29,none,rent,1,unskilled - resident,2,none,no,good,single,male,1,1
315,<0,36,all credits at this bank paid back duly,furniture/equipment,2746,<100,>7 yrs,4,none,4,car or other,31,bank,rent,1,skilled employee / official,1,none,yes,bad,single,male,4,0
316,<0,12,existing credits paid back duly till now,furniture/equipment,708,<100,1-4 yrs,2,guarantor,3,savings agreement/life insurance,38,none,rent,1,unskilled - resident,2,none,yes,good,single,male,2,1
317,0-200,24,existing credits paid back duly till now,furniture/equipment,4351,unknown/no savings account,1-4 yrs,1,none,4,savings agreement/life insurance,48,none,rent,1,unskilled - resident,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
318,No account,12,critical account/other credits existing (not at this bank),education,701,<100,1-4 yrs,4,none,2,car or other,32,none,rent,2,skilled employee / official,1,none,yes,good,single,male,2,1
319,<0,15,delay in paying off in the past,furniture/equipment,3643,<100,>7 yrs,1,none,4,savings agreement/life insurance,27,none,rent,2,unskilled - resident,1,none,yes,good,divorced/separated/married,female,4,1
320,0-200,30,critical account/other credits existing (not at this bank),car (new),4249,<100,unemployed,4,none,2,car or other,28,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,none,yes,bad,married/widowed,male,0,0
321,<0,24,existing credits paid back duly till now,radio/television,1938,<100,<1 yr,4,none,3,savings agreement/life insurance,32,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated,male,1,0
322,<0,24,existing credits paid back duly till now,car (used),2910,<100,4-7 yrs,2,none,1,unknown/no property,34,none,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,3,1
323,<0,18,existing credits paid back duly till now,furniture/equipment,2659,>=1000,1-4 yrs,4,none,2,car or other,28,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
324,No account,18,critical account/other credits existing (not at this bank),car (new),1028,<100,1-4 yrs,4,none,3,real estate,36,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
325,<0,8,critical account/other credits existing (not at this bank),car (new),3398,<100,4-7 yrs,1,none,4,real estate,39,none,rent,2,unskilled - resident,1,none,no,good,single,male,3,1
326,No account,12,critical account/other credits existing (not at this bank),furniture/equipment,5801,unknown/no savings account,>7 yrs,2,none,4,savings agreement/life insurance,49,none,own,1,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
327,No account,24,existing credits paid back duly till now,car (new),1525,>=1000,4-7 yrs,4,none,3,car or other,34,none,rent,1,skilled employee / official,2,"yes, registered",yes,good,divorced/separated/married,female,3,1
328,>=200,36,existing credits paid back duly till now,radio/television,4473,<100,>7 yrs,4,none,2,car or other,31,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
329,0-200,6,existing credits paid back duly till now,radio/television,1068,<100,>7 yrs,4,none,4,car or other,28,none,rent,1,skilled employee / official,2,none,yes,good,single,male,4,1
330,<0,24,critical account/other credits existing (not at this bank),car (used),6615,<100,unemployed,2,none,4,unknown/no property,75,none,free,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,0,1
331,No account,18,critical account/other credits existing (not at this bank),education,1864,100-500,1-4 yrs,4,none,2,real estate,30,none,rent,2,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
332,0-200,60,existing credits paid back duly till now,car (new),7408,100-500,<1 yr,4,none,2,savings agreement/life insurance,24,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,none,yes,bad,divorced/separated/married,female,1,0
333,No account,48,critical account/other credits existing (not at this bank),car (used),11590,100-500,1-4 yrs,2,none,4,car or other,24,bank,own,2,unskilled - resident,1,none,yes,bad,divorced/separated/married,female,2,0
334,<0,24,no credits taken / paid back duly,furniture/equipment,4110,<100,>7 yrs,3,none,4,unknown/no property,23,bank,own,2,skilled employee / official,2,none,yes,bad,single,male,4,0
335,<0,6,critical account/other credits existing (not at this bank),furniture/equipment,3384,<100,1-4 yrs,1,none,4,real estate,44,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,divorced/separated,male,2,0
336,0-200,13,existing credits paid back duly till now,radio/television,2101,<100,<1 yr,2,guarantor,4,savings agreement/life insurance,23,none,rent,1,unskilled - resident,1,none,yes,good,divorced/separated/married,female,1,1
337,<0,15,existing credits paid back duly till now,domestic appliances,1275,unknown/no savings account,1-4 yrs,4,none,2,car or other,24,none,own,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
338,<0,24,existing credits paid back duly till now,furniture/equipment,4169,<100,1-4 yrs,4,none,4,savings agreement/life insurance,28,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
339,0-200,10,existing credits paid back duly till now,furniture/equipment,1521,<100,1-4 yrs,4,none,2,car or other,31,none,rent,1,unskilled - resident,1,none,yes,good,divorced/separated,male,2,1
340,0-200,24,critical account/other credits existing (not at this bank),education,5743,<100,<1 yr,2,none,4,unknown/no property,24,none,free,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,1,1
341,<0,21,existing credits paid back duly till now,furniture/equipment,3599,<100,4-7 yrs,1,none,4,car or other,26,none,own,1,unskilled - resident,1,none,yes,good,divorced/separated/married,female,3,1
342,0-200,18,existing credits paid back duly till now,radio/television,3213,500-1000,<1 yr,1,none,3,real estate,25,none,own,1,skilled employee / official,1,none,yes,good,married/widowed,male,1,1
343,0-200,18,existing credits paid back duly till now,business,4439,<100,>7 yrs,1,co-applicant,1,real estate,33,bank,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,4,1
344,>=200,10,existing credits paid back duly till now,car (new),3949,<100,<1 yr,1,guarantor,1,savings agreement/life insurance,37,none,rent,1,unskilled - resident,2,none,yes,good,single,male,1,1
345,No account,15,critical account/other credits existing (not at this bank),radio/television,1459,<100,1-4 yrs,4,none,2,car or other,43,none,rent,1,unskilled - resident,1,none,yes,good,divorced/separated/married,female,2,1
346,0-200,13,critical account/other credits existing (not at this bank),radio/television,882,<100,<1 yr,4,guarantor,4,real estate,23,none,rent,2,skilled employee / official,1,none,yes,good,single,male,1,1
347,0-200,24,existing credits paid back duly till now,radio/television,3758,500-1000,unemployed,1,none,4,unknown/no property,23,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,good,divorced/separated/married,female,0,1
348,No account,6,delay in paying off in the past,business,1743,100-500,1-4 yrs,1,none,2,real estate,34,none,rent,2,unskilled - resident,1,none,yes,good,single,male,2,1
349,0-200,9,critical account/other credits existing (not at this bank),education,1136,>=1000,>7 yrs,4,none,3,unknown/no property,32,none,free,2,skilled employee / official,2,none,yes,bad,single,male,4,0
350,No account,9,existing credits paid back duly till now,domestic appliances,1236,<100,<1 yr,1,none,4,real estate,23,none,own,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,1,1
351,0-200,9,existing credits paid back duly till now,furniture/equipment,959,<100,1-4 yrs,1,none,2,car or other,29,none,rent,1,skilled employee / official,1,none,no,bad,divorced/separated/married,female,2,0
352,No account,18,critical account/other credits existing (not at this bank),car (used),3229,unknown/no savings account,unemployed,2,none,4,unknown/no property,38,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,0,1
353,<0,12,no credits taken / paid back duly,radio/television,6199,<100,1-4 yrs,4,none,2,savings agreement/life insurance,28,none,own,2,skilled employee / official,1,"yes, registered",yes,bad,single,male,2,0
354,No account,10,existing credits paid back duly till now,education,727,500-1000,>7 yrs,4,none,4,unknown/no property,46,none,free,1,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
355,0-200,24,existing credits paid back duly till now,car (new),1246,<100,<1 yr,4,none,2,real estate,23,stores,rent,1,unskilled - resident,1,none,yes,bad,single,male,1,0
356,No account,12,critical account/other credits existing (not at this bank),radio/television,2331,unknown/no savings account,>7 yrs,1,co-applicant,4,real estate,49,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
357,No account,36,delay in paying off in the past,radio/television,4463,<100,1-4 yrs,4,none,2,car or other,26,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,2,0
358,No account,12,existing credits paid back duly till now,radio/television,776,<100,1-4 yrs,4,none,2,real estate,28,none,rent,1,skilled employee / official,1,none,yes,good,married/widowed,male,2,1
359,<0,30,existing credits paid back duly till now,furniture/equipment,2406,<100,4-7 yrs,4,none,4,real estate,23,none,own,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,3,0
360,0-200,18,existing credits paid back duly till now,education,1239,unknown/no savings account,1-4 yrs,4,none,4,unknown/no property,61,none,free,1,skilled employee / official,1,none,yes,good,single,male,2,1
361,>=200,12,existing credits paid back duly till now,radio/television,3399,unknown/no savings account,>7 yrs,2,none,3,car or other,37,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,none,yes,good,single,male,4,1
362,>=200,12,delay in paying off in the past,car (new),2247,<100,1-4 yrs,2,none,2,car or other,36,stores,rent,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
363,No account,6,existing credits paid back duly till now,furniture/equipment,1766,<100,1-4 yrs,1,none,2,savings agreement/life insurance,21,none,own,1,skilled employee / official,1,none,yes,good,married/widowed,male,2,1
364,<0,18,existing credits paid back duly till now,furniture/equipment,2473,<100,unemployed,4,none,1,car or other,25,none,rent,1,unemployed/ unskilled - non-resident,1,none,yes,bad,single,male,0,0
365,No account,12,existing credits paid back duly till now,business,1542,<100,4-7 yrs,2,none,4,car or other,36,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
366,No account,18,critical account/other credits existing (not at this bank),car (used),3850,<100,4-7 yrs,3,none,1,car or other,27,none,rent,2,skilled employee / official,1,none,yes,good,single,male,3,1
367,<0,18,existing credits paid back duly till now,furniture/equipment,3650,<100,<1 yr,1,none,4,car or other,22,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
368,<0,36,existing credits paid back duly till now,furniture/equipment,3446,<100,>7 yrs,4,none,2,car or other,42,none,rent,1,skilled employee / official,2,none,yes,bad,single,male,4,0
369,0-200,18,existing credits paid back duly till now,furniture/equipment,3001,<100,4-7 yrs,2,none,4,real estate,40,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,3,1
370,No account,36,existing credits paid back duly till now,car (new),3079,unknown/no savings account,1-4 yrs,4,none,4,real estate,36,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
371,No account,18,critical account/other credits existing (not at this bank),radio/television,6070,<100,>7 yrs,3,none,4,car or other,33,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
372,No account,10,critical account/other credits existing (not at this bank),furniture/equipment,2146,<100,<1 yr,1,none,3,real estate,23,none,own,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
373,No account,60,critical account/other credits existing (not at this bank),car (new),13756,unknown/no savings account,>7 yrs,2,none,4,unknown/no property,63,bank,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,4,1
374,0-200,60,all credits at this bank paid back duly,others,14782,100-500,>7 yrs,3,none,4,unknown/no property,60,bank,free,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,divorced/separated/married,female,4,0
375,<0,48,all credits at this bank paid back duly,business,7685,<100,4-7 yrs,2,guarantor,4,car or other,37,none,own,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,3,0
376,No account,18,delay in paying off in the past,radio/television,2320,<100,unemployed,2,none,3,real estate,34,none,rent,2,skilled employee / official,1,none,yes,good,married/widowed,male,0,1
377,No account,7,delay in paying off in the past,radio/television,846,unknown/no savings account,>7 yrs,3,none,4,unknown/no property,36,none,free,1,skilled employee / official,1,none,yes,good,single,male,4,1
378,0-200,36,existing credits paid back duly till now,car (new),14318,<100,>7 yrs,4,none,2,unknown/no property,57,none,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,4,0
379,No account,6,critical account/other credits existing (not at this bank),car (new),362,100-500,1-4 yrs,4,none,4,car or other,52,none,rent,2,unskilled - resident,1,none,yes,good,divorced/separated/married,female,2,1
380,<0,20,existing credits paid back duly till now,furniture/equipment,2212,unknown/no savings account,4-7 yrs,4,none,4,car or other,39,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
381,0-200,18,existing credits paid back duly till now,car (used),12976,<100,unemployed,3,none,4,unknown/no property,38,none,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,divorced/separated/married,female,0,0
382,No account,22,existing credits paid back duly till now,car (new),1283,unknown/no savings account,4-7 yrs,4,none,4,savings agreement/life insurance,25,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,3,1
383,>=200,12,existing credits paid back duly till now,car (new),1330,<100,<1 yr,4,none,1,real estate,26,none,rent,1,skilled employee / official,1,none,yes,good,single,male,1,1
384,No account,30,delay in paying off in the past,business,4272,100-500,1-4 yrs,2,none,2,savings agreement/life insurance,26,none,rent,2,unskilled - resident,1,none,yes,good,single,male,2,1
385,No account,18,critical account/other credits existing (not at this bank),radio/television,2238,<100,1-4 yrs,2,none,1,car or other,25,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
386,No account,18,existing credits paid back duly till now,radio/television,1126,unknown/no savings account,<1 yr,4,none,2,real estate,21,none,own,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,1,1
387,0-200,18,critical account/other credits existing (not at this bank),furniture/equipment,7374,<100,unemployed,4,none,4,savings agreement/life insurance,40,stores,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,0,1
388,0-200,15,critical account/other credits existing (not at this bank),business,2326,500-1000,1-4 yrs,2,none,4,car or other,27,bank,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
389,No account,9,existing credits paid back duly till now,business,1449,<100,4-7 yrs,3,none,2,car or other,27,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,3,1
390,No account,18,existing credits paid back duly till now,car (new),1820,<100,1-4 yrs,2,none,2,savings agreement/life insurance,30,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,married/widowed,male,2,1
391,0-200,12,existing credits paid back duly till now,furniture/equipment,983,>=1000,<1 yr,1,none,4,real estate,19,none,own,1,unskilled - resident,1,none,yes,good,divorced/separated/married,female,1,1
392,<0,36,existing credits paid back duly till now,car (new),3249,<100,4-7 yrs,2,none,4,unknown/no property,39,bank,free,1,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,good,single,male,3,1
393,<0,6,critical account/other credits existing (not at this bank),radio/television,1957,<100,4-7 yrs,1,none,4,car or other,31,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,3,1
394,No account,9,critical account/other credits existing (not at this bank),furniture/equipment,2406,<100,unemployed,2,none,3,car or other,31,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,none,yes,good,single,male,0,1
395,0-200,39,delay in paying off in the past,education,11760,100-500,4-7 yrs,2,none,3,unknown/no property,32,none,own,1,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
396,<0,12,existing credits paid back duly till now,furniture/equipment,2578,<100,unemployed,3,none,4,unknown/no property,55,none,free,1,management/ self-employed/highly qualified employee/ officer,1,none,yes,good,divorced/separated/married,female,0,1
397,<0,36,critical account/other credits existing (not at this bank),furniture/equipment,2348,<100,1-4 yrs,3,none,2,savings agreement/life insurance,46,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,2,1
398,0-200,12,existing credits paid back duly till now,car (new),1223,<100,>7 yrs,1,none,1,real estate,46,none,own,2,skilled employee / official,1,none,yes,bad,divorced/separated,male,4,0
399,No account,24,critical account/other credits existing (not at this bank),radio/television,1516,>=1000,1-4 yrs,4,none,1,real estate,43,none,rent,2,unskilled - resident,1,none,yes,good,divorced/separated/married,female,2,1
400,No account,18,existing credits paid back duly till now,radio/television,1473,<100,<1 yr,3,none,4,real estate,39,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,1,1
401,0-200,18,critical account/other credits existing (not at this bank),business,1887,unknown/no savings account,1-4 yrs,4,none,4,real estate,28,bank,rent,2,skilled employee / official,1,none,yes,good,married/widowed,male,2,1
402,No account,24,delay in paying off in the past,business,8648,<100,<1 yr,2,none,2,car or other,27,bank,rent,2,skilled employee / official,1,"yes, registered",yes,bad,single,male,1,0
