,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,year_range_built,year_range_built_numeric,year_range_built3,property_value_$1K,year_range2,year_range2_rev
94139,11757256,1.0,,,3.0,3.0,,1.0,3.0,,,2078.0,2078.0,,,,,6037.0,,3.0,,,,2.0,34061300.0,-118317000.0,39138.0,1.0,,,,1.0,010C,266.0,LACR(PKM),60372126.101003,12447.0,3101.0,274514.0,95991.0,0.0,,,,1.0,,,2001.0,,,528546.0,590001.0,2015.0,61455.0,7251.28,0,,60372126101003.0,2000-2004,3,2000-2003,590.0,1999-2001,5 1999-2001
207629,11249673,,,,3.0,4.0,,4.0,3.0,,,2346.0,2346.0,,,,,6037.0,,3.0,,,,,34602603.0,-117817928.0,25240.0,,,,,,0700,263.0,LCR320U*,60379001.041023,40227.0,3101.0,,97344.0,0.0,,,,1.0,,,2005.0,,,60451.0,87090.0,2015.0,26639.0,1160.9,0,,60379001041023.0,2005-2009,4,2003-2006,87.0,2003-2005,3 2003-2005
292706,11268716,1.0,,,4.0,5.0,,1.0,4.0,,,3836.0,3836.0,,,,,6037.0,,4.0,,,,2.0,34634467.0,-118205107.0,20670.0,,,,,,0100,261.0,LCA2,60379102.021032,5534.0,3101.0,,97319.0,0.0,,,,1.0,,,2006.0,,,322286.0,397971.0,2015.0,75685.0,5915.47,0,,60379102021032.0,2005-2009,4,2003-2006,397.0,2005-2007,2 2005-2007
422481,17225842,,,,4.5,5.0,,,4.5,,1610.0,3009.0,3009.0,,,1610.0,,6111.0,2.0,4.0,2.0,627.0,,,34234970.0,-118792933.0,7631.0,,,,,,1111,261.0,,61110075.073012,27110.0,2061.0,,97118.0,9.0,,1.0,,,280.0,,1999.0,2.0,,277500.0,792500.0,2015.0,515000.0,8912.2,0,,61110075073012.0,1995-1999,2,1997-2000,792.0,1997-1999,6 1997-1999
91131,12612108,,,,4.0,4.0,,4.0,4.0,,,2966.0,2966.0,,,,,6037.0,,4.0,,,,2.0,33806900.0,-118325000.0,16296.0,,,,,,010C,266.0,LORVD1500*,60376700.01201,54722.0,3101.0,275428.0,96217.0,0.0,,,,1.0,,,2005.0,,,269345.0,305448.0,2015.0,36103.0,4023.41,0,,60376700012010.0,2005-2009,4,2003-2006,305.0,2003-2005,3 2003-2005
381848,10775040,1.0,,,3.0,4.0,,4.0,3.0,,,2402.0,2402.0,,,,,6037.0,,3.0,,,,2.0,34205489.0,-118555080.0,6551.0,,,,,,0100,261.0,LAR1,60371317.012005,12447.0,3101.0,40548.0,96364.0,0.0,,,,1.0,,,1996.0,,,213292.0,519331.0,2015.0,306039.0,6459.46,0,,60371317012005.0,1995-1999,2,1994-1997,519.0,1995-1997,7 1995-1997
341861,13937486,,,,3.5,3.0,,,3.5,,,2669.0,2669.0,,,,,6059.0,,3.0,4.0,982.0,,,33813620.0,-117770388.0,43560.0,,,,,,122,261.0,,60590219.123016,33252.0,1286.0,,97067.0,6.0,,1.0,,,,,2007.0,1.0,,268858.0,865777.0,2015.0,596919.0,9080.46,0,,60590219123016.0,2005-2009,4,2006-2009,865.0,2005-2007,2 2005-2007
355338,14156832,,,,3.0,4.0,,,3.0,,,3424.0,3424.0,,,,,6059.0,,3.0,2.0,453.0,,,33927788.0,-117841042.0,7169.0,,,,,,122,261.0,,60590218.151024,17150.0,1286.0,,97037.0,0.0,,,,,,,2002.0,,,436285.0,859222.0,2015.0,422937.0,12352.32,0,,60590218151024.0,2000-2004,3,2000-2003,859.0,2001-2003,4 2001-2003
79250,10724497,1.0,,,5.0,5.0,,1.0,5.0,,,3391.0,3391.0,,,,,6037.0,,5.0,,,,2.0,34204130.0,-118646590.0,15290.0,1.0,,,,1.0,0101,261.0,LARE11,60371344.211012,12447.0,3101.0,268588.0,96342.0,0.0,,,,1.0,,,1997.0,,,426474.0,690857.0,2015.0,264383.0,8663.99,0,,60371344211012.0,1995-1999,2,1994-1997,690.0,1995-1997,7 1995-1997
50453,11566363,1.0,,,3.0,3.0,,1.0,3.0,,,1566.0,1566.0,,,,,6037.0,,3.0,,,,2.0,34047000.0,-118462000.0,,,,,,,010C,266.0,LAR3,60372674.041002,12447.0,3101.0,117954.0,96006.0,0.0,,,,1.0,,,2009.0,,,332378.0,714219.0,2015.0,381841.0,8750.51,0,,,2005-2009,4,2006-2009,714.0,2007-2009,1 2007-2009
181923,11492374,,,,5.0,5.0,,10.0,5.0,,,3395.0,3395.0,,,,,6037.0,,5.0,,,,2.0,33861248.0,-118367718.0,5089.0,,,,,,0100,261.0,RBR-1 (PLD,60376206.02401,33612.0,3101.0,,96124.0,0.0,,,,1.0,,,2000.0,,,468194.0,823426.0,2015.0,355232.0,10037.71,0,,60376206024010.0,2000-2004,3,1997-2000,823.0,1999-2001,5 1999-2001
398850,14396426,,,,4.5,4.0,,,4.5,,,3410.0,3410.0,,,,,6059.0,,4.0,2.0,623.0,,,33561485.0,-117698342.0,8050.0,,,,,,122,261.0,,60590423.352004,25459.0,1286.0,,96987.0,0.0,,1.0,,,,,2004.0,,,485000.0,1244000.0,2015.0,759000.0,12920.82,0,,60590423352004.0,2000-2004,3,2003-2006,1244.0,2003-2005,3 2003-2005
606898,14658515,,,,2.0,3.0,,,2.0,,,2050.0,2050.0,,,,,6059.0,,2.0,2.0,0.0,,,33460527.0,-117586192.0,,,,,,,34,266.0,,60590320.232001,13693.0,1286.0,,96983.0,0.0,,,,,,,2000.0,,,203732.0,650745.0,2015.0,447013.0,8578.24,0,,60590320232001.0,2000-2004,3,1997-2000,650.0,1999-2001,5 1999-2001
944,11954332,1.0,,,2.0,3.0,,7.0,2.0,,,1208.0,1208.0,,,,,6037.0,,2.0,,,,2.0,34090507.0,-118245565.0,4691.0,,,,,,0100,261.0,LAR1,60371974.101026,12447.0,3101.0,268134.0,96007.0,0.0,,,,1.0,,,1996.0,,,72587.0,151871.0,2015.0,79284.0,1957.72,0,,60371974101026.0,1995-1999,2,1994-1997,151.0,1995-1997,7 1995-1997
556681,11475986,,,,3.0,4.0,,1.0,3.0,,,1792.0,1792.0,,,,,6037.0,,3.0,,,,2.0,33918400.0,-118412000.0,7151.0,,,,,,010C,266.0,ESR3YY,60376201.022025,55753.0,3101.0,,96103.0,0.0,,,,1.0,,,2004.0,,,263272.0,430367.0,2015.0,167095.0,4952.71,0,,60376201022025.0,2000-2004,3,2003-2006,430.0,2003-2005,3 2003-2005
558022,11345634,1.0,,,5.0,3.0,,4.0,5.0,,,2941.0,2941.0,,,,,6037.0,,5.0,,,,2.0,34461013.0,-118512652.0,9138.0,1.0,,,,1.0,0101,261.0,SCUR2,60379200.162013,,3101.0,,96403.0,0.0,,,,1.0,,,1998.0,,,297769.0,506470.0,2015.0,208701.0,7652.25,0,,60379200162013.0,1995-1999,2,1997-2000,506.0,1997-1999,6 1997-1999
324285,11750002,1.0,,,2.0,2.0,,4.0,2.0,,,1350.0,1350.0,,,,,6037.0,,2.0,,,,2.0,34053700.0,-118312000.0,15677.0,,,,,,010C,266.0,LAR3,60372131.001002,12447.0,3101.0,274514.0,96000.0,0.0,,,,1.0,,,2006.0,,,407512.0,509390.0,2015.0,101878.0,6270.12,0,,60372131001002.0,2005-2009,4,2003-2006,509.0,2005-2007,2 2005-2007
533615,13894609,,,,3.5,2.0,,,3.5,,,5282.0,5282.0,,,,,6059.0,,3.0,2.0,507.0,True,,33552157.0,-117808255.0,6120.0,1.0,,,1.0,,122,261.0,,60590626.042103,52842.0,1286.0,,96969.0,6.0,,1.0,,,,,2007.0,2.0,,1586161.0,3657881.0,2015.0,2071720.0,37724.78,0,,60590626042103.0,2005-2009,4,2006-2009,3657.0,2005-2007,2 2005-2007
585402,11744266,1.0,,,2.0,2.0,,4.0,2.0,,,850.0,850.0,,,,,6037.0,,2.0,,,,2.0,34046100.0,-118312000.0,26336.0,,,,,,010C,266.0,LAR3,60372213.042,12447.0,3101.0,403193.0,96000.0,0.0,,,,1.0,,,2007.0,,,254000.0,363000.0,2015.0,109000.0,4536.45,0,,60372213042000.0,2005-2009,4,2006-2009,363.0,2005-2007,2 2005-2007
481838,12011495,1.0,,,3.0,1.0,,,3.0,,,1910.0,1910.0,,,,,6037.0,,3.0,,,,2.0,34100600.0,-118326000.0,,1.0,,,,1.0,01HC,266.0,LAC4,60371910.003003,12447.0,3101.0,32059.0,96009.0,0.0,,,,1.0,,,2009.0,,,445704.0,891408.0,2015.0,445704.0,11158.64,0,,60371910003003.0,2005-2009,4,2006-2009,891.0,2007-2009,1 2007-2009
182413,11307002,1.0,,,3.0,5.0,,4.0,3.0,,,3692.0,3692.0,,,,,6037.0,,3.0,,,,2.0,34683005.0,-118214332.0,6924.0,,,,,,0100,261.0,LRR7000*,60379010.043059,5534.0,3101.0,,97319.0,0.0,,,,1.0,,,2006.0,,,198000.0,334000.0,2015.0,136000.0,6387.52,0,,60379010043059.0,2005-2009,4,2003-2006,334.0,2005-2007,2 2005-2007
21703,10944766,1.0,,,2.0,2.0,,4.0,2.0,,,1300.0,1300.0,,,,,6037.0,,2.0,,,,2.0,34176600.0,-118302000.0,15678.0,,,,,,012C,266.0,BUC3*,60373107.032008,396054.0,3101.0,,96434.0,0.0,,,,1.0,,,2006.0,,,212012.0,397387.0,2015.0,185375.0,4664.39,0,,60373107032008.0,2005-2009,4,2003-2006,397.0,2005-2007,2 2005-2007
237247,11487824,,,,3.0,3.0,,4.0,3.0,,,1585.0,1585.0,,,,,6037.0,,3.0,,,,2.0,33874994.0,-118364358.0,7485.0,,,,,,010C,266.0,RBR4YY,60376205.212003,33612.0,3101.0,,96124.0,0.0,,,,1.0,,,1998.0,,,207337.0,538295.0,2015.0,330958.0,6679.52,0,,60376205212003.0,1995-1999,2,1997-2000,538.0,1997-1999,6 1997-1999
330588,17235866,,,,3.0,4.0,,,3.0,,1573.0,2907.0,2907.0,,,1573.0,,6111.0,1.0,3.0,2.0,448.0,,,34298580.0,-118760348.0,6391.0,,,,,,1111,261.0,,61110079.031007,27110.0,2061.0,,97118.0,8.0,,,,,,,2006.0,2.0,,290484.0,580968.0,2015.0,290484.0,6642.42,0,,61110079031007.0,2005-2009,4,2003-2006,580.0,2005-2007,2 2005-2007
66082,14163471,,,,5.5,5.0,,,5.5,,,5110.0,5110.0,,,,,6059.0,,5.0,3.0,820.0,True,,33907167.0,-117814091.0,15555.0,1.0,,,1.0,,1,261.0,,60590218.222008,21412.0,1286.0,,97078.0,0.0,,1.0,,,,,2009.0,,,1046267.0,1754492.0,2015.0,708225.0,19962.22,0,,60590218222008.0,2005-2009,4,2006-2009,1754.0,2007-2009,1 2007-2009
626635,14707702,,,,4.0,5.0,,,4.0,,,3261.0,3261.0,,,,,6059.0,,4.0,2.0,0.0,,,33628800.0,-117923000.0,,,,,,,1,266.0,,60590634.004006,53571.0,1286.0,,96981.0,0.0,,,,,,,2006.0,,,641211.0,1118869.0,2015.0,477658.0,12282.66,0,,60590634004006.0,2005-2009,4,2003-2006,1118.0,2005-2007,2 2005-2007
276731,14427147,,,,4.5,4.0,,,4.5,,,5438.0,5438.0,,,,,6059.0,,4.0,2.0,712.0,,,33470786.0,-117686342.0,10845.0,1.0,,,,1.0,1,261.0,,60590423.112011,17686.0,1286.0,,96961.0,0.0,,1.0,,,,,2003.0,,,1197031.0,2349767.0,2015.0,1152736.0,25594.84,0,,60590423112011.0,2000-2004,3,2000-2003,2349.0,2001-2003,4 2001-2003
100158,14452571,,,,4.0,5.0,,,4.0,,,3398.0,3398.0,,,,,6059.0,,4.0,2.0,651.0,,,33467700.0,-117594601.0,6684.0,,,,,,122,261.0,,60590320.231024,13693.0,1286.0,,96983.0,0.0,,,,,,,2000.0,,,564946.0,992142.0,2015.0,427196.0,13761.24,0,,60590320231024.0,2000-2004,3,1997-2000,992.0,1999-2001,5 1999-2001
84904,17127319,,,,3.0,3.0,,,3.0,,2360.0,2360.0,2360.0,,,2360.0,,6111.0,1.0,3.0,2.0,505.0,,,34233672.0,-119052129.0,7281.0,,,,,,1111,261.0,,61110052.03203,51239.0,2061.0,,97089.0,6.0,,,,,,,2007.0,1.0,,243000.0,691000.0,2015.0,448000.0,7464.86,0,,61110052032030.0,2005-2009,4,2006-2009,691.0,2005-2007,2 2005-2007
12416,17205507,,,,2.5,3.0,,,2.5,,937.0,1816.0,1816.0,,,937.0,,6111.0,1.0,2.0,2.0,0.0,,,34297221.0,-118865832.0,,,,,,,1129,266.0,,61110076.141139,25974.0,2061.0,,97097.0,6.0,,1.0,,,,,2009.0,2.0,,235666.0,471332.0,2015.0,235666.0,7117.88,0,,61110076141139.0,2005-2009,4,2006-2009,471.0,2007-2009,1 2007-2009
503026,14182364,,,,3.0,4.0,,,3.0,,,3116.0,3116.0,,,,,6059.0,,3.0,2.0,604.0,,,33872537.0,-117844121.0,4750.0,,,,,,122,261.0,,60590117.162006,26531.0,1286.0,,97068.0,0.0,,,,,,,2001.0,,,398864.0,727750.0,2015.0,328886.0,8766.0,0,,60590117162006.0,2000-2004,3,2000-2003,727.0,1999-2001,5 1999-2001
390601,11087126,1.0,,,3.0,4.0,,4.0,3.0,,,1743.0,1743.0,,,,,6037.0,,3.0,,,,2.0,34254251.0,-118600045.0,3981.0,,,,,,0100,261.0,LAR2,60371132.132002,12447.0,3101.0,37835.0,96346.0,0.0,,,,1.0,,,2006.0,,,305000.0,507000.0,2015.0,202000.0,6604.59,0,,60371132132002.0,2005-2009,4,2003-2006,507.0,2005-2007,2 2005-2007
582089,17107187,,,,2.5,3.0,,,2.5,,790.0,1963.0,1963.0,,,790.0,,6111.0,,2.0,2.0,0.0,,,34266928.0,-119215877.0,,,,,,,1129,266.0,,61110015.024009,34543.0,2061.0,761210.0,97083.0,5.0,,1.0,,,,,2006.0,2.0,,168000.0,473000.0,2015.0,305000.0,5383.06,0,,61110015024009.0,2005-2009,4,2003-2006,473.0,2005-2007,2 2005-2007
524293,14295827,,,,2.5,4.0,,,2.5,,,2488.0,2488.0,,,,,6059.0,,2.0,2.0,456.0,,,33624579.0,-117879892.0,4692.0,,,,,,122,261.0,,60590630.043006,53571.0,1286.0,,96978.0,0.0,,1.0,,,,,1996.0,,,327584.0,1440000.0,2015.0,1112416.0,17257.58,0,,60590630043006.0,1995-1999,2,1994-1997,1440.0,1995-1997,7 1995-1997
540727,17204126,,,,4.0,4.0,,,4.0,,2398.0,3307.0,3307.0,,,2398.0,,6111.0,1.0,4.0,2.0,591.0,,,34274562.0,-118867463.0,7518.0,1.0,380.0,,,1.0,1111,261.0,,61110076.132025,25974.0,2061.0,,97097.0,9.0,,,,,,,2001.0,2.0,,406737.0,641505.0,2015.0,234768.0,7515.42,0,,61110076132025.0,2000-2004,3,2000-2003,641.0,1999-2001,5 1999-2001
386509,14495267,,,,2.5,4.0,,,2.5,,,1749.0,1749.0,,,,,6059.0,,2.0,2.0,458.0,,,33633933.0,-117594744.0,3430.0,,,,,,122,261.0,,60590320.544016,15554.0,1286.0,,96993.0,0.0,,1.0,,,,,1997.0,,,183545.0,265212.0,2015.0,81667.0,3979.58,0,,60590320544016.0,1995-1999,2,1994-1997,265.0,1995-1997,7 1995-1997
223757,14761953,,,,3.5,4.0,,,3.5,,,3219.0,3219.0,,,,,6059.0,,3.0,2.0,560.0,,,33632863.0,-117841619.0,6357.0,,,,,,1,261.0,,60590626.141009,52650.0,1286.0,275795.0,96951.0,0.0,,1.0,,,,,2007.0,,,678884.0,702949.0,2015.0,24065.0,7356.02,0,,60590626141009.0,2005-2009,4,2006-2009,702.0,2005-2007,2 2005-2007
231680,14220678,,,,3.0,4.0,,,3.0,,,2703.0,2703.0,,,,,6059.0,,3.0,2.0,600.0,True,,33827446.0,-117786716.0,11743.0,1.0,,,1.0,,122,261.0,,60590219.121,33252.0,1286.0,,97065.0,0.0,,,,,,,1997.0,,,357897.0,932204.0,2015.0,574307.0,10054.52,0,,60590219121000.0,1995-1999,2,1994-1997,932.0,1995-1997,7 1995-1997
452840,12989393,1.0,,,3.0,4.0,,4.0,3.0,,,1606.0,1606.0,,,,,6037.0,,3.0,,,,2.0,34087099.0,-117953802.0,3255.0,,,,,,0100,261.0,BPI*,60374052.013011,10241.0,3101.0,,96465.0,0.0,,,,1.0,,,2002.0,,,205005.0,325509.0,2015.0,120504.0,4217.61,0,,60374052013011.0,2000-2004,3,2000-2003,325.0,2001-2003,4 2001-2003
11872,11124028,1.0,,,3.0,3.0,,4.0,3.0,,,2046.0,2046.0,,,,,6037.0,,3.0,,,,2.0,34445102.0,-118478465.0,5121.0,,,,,,0100,261.0,LCA21*,60379200.281012,,3101.0,,96373.0,0.0,,,,1.0,,,2004.0,,,303756.0,504864.0,2015.0,201108.0,6740.5,0,,60379200281012.0,2000-2004,3,2003-2006,504.0,2003-2005,3 2003-2005
105314,11916617,1.0,,,3.0,4.0,,4.0,3.0,,,1928.0,1928.0,,,,,6037.0,,3.0,,,,2.0,34082637.0,-118093042.0,6969.0,,,,,,0100,261.0,SLR1YY,60374814.021008,33837.0,3101.0,,96515.0,0.0,,,,1.0,,,2005.0,,,181239.0,353974.0,2015.0,172735.0,4956.42,0,,60374814021008.0,2005-2009,4,2003-2006,353.0,2003-2005,3 2003-2005
621974,14052885,,,,3.0,5.0,,,3.0,,,2660.0,2660.0,,,,,6059.0,,3.0,2.0,667.0,,,33676099.0,-117955470.0,5225.0,,,,,,122,261.0,,60590992.153003,25218.0,1286.0,,96964.0,0.0,,,,,,,1996.0,,,272585.0,432037.0,2015.0,159452.0,4986.06,0,,60590992153003.0,1995-1999,2,1994-1997,432.0,1995-1997,7 1995-1997
169542,11136030,1.0,,,3.0,4.0,,4.0,3.0,,,2455.0,2455.0,,,,,6037.0,,3.0,,,,2.0,34408028.0,-118584416.0,5984.0,,,,,,0100,261.0,LCA2,60379203.391054,,3101.0,,96395.0,0.0,,,,1.0,,,2003.0,,,358051.0,574804.0,2015.0,216753.0,8176.28,0,,60379203391054.0,2000-2004,3,2000-2003,574.0,2001-2003,4 2001-2003
434961,17312410,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34227522.0,-119159568.0,,,,,,,1118,263.0,,61110050.032034,13150.0,2061.0,114909.0,97107.0,0.0,,,,,,,2005.0,,,15400.0,15400.0,2015.0,,180.3,0,,61110050032034.0,2005-2009,4,2003-2006,15.0,2003-2005,3 2003-2005
260227,14392007,,,,3.0,5.0,,,3.0,,,2748.0,2748.0,,,,,6059.0,,3.0,1.0,390.0,,,33585167.0,-117747697.0,5592.0,,,,,,122,261.0,,60590626.332005,37086.0,1286.0,,96974.0,0.0,,,,,,,1997.0,,,317689.0,783512.0,2015.0,465823.0,7912.66,0,,60590626332005.0,1995-1999,2,1994-1997,783.0,1995-1997,7 1995-1997
445083,11628321,1.0,,,6.0,5.0,,12.0,6.0,,,3690.0,3690.0,,,,,6037.0,,6.0,,,,2.0,34062618.0,-118384387.0,5996.0,,,,,,0100,261.0,BHR1YY,60377009.014011,10389.0,3101.0,,96087.0,0.0,,,,1.0,,,2007.0,,,985764.0,2678710.0,2015.0,1692946.0,31616.87,0,,60377009014011.0,2005-2009,4,2006-2009,2678.0,2005-2007,2 2005-2007
166822,11315334,1.0,,,2.0,2.0,,4.0,2.0,,,1312.0,1312.0,,,,,6037.0,,2.0,,,,2.0,34713520.0,-118094453.0,7735.0,,,,,,0100,261.0,LRD21*,60379006.091,5534.0,3101.0,,97318.0,0.0,,,,1.0,,,2007.0,,,89223.0,119070.0,2015.0,29847.0,2309.55,0,,60379006091000.0,2005-2009,4,2006-2009,119.0,2005-2007,2 2005-2007
437440,14666785,,,,3.5,3.0,,,3.5,,,2168.0,2168.0,,,,,6059.0,,3.0,2.0,0.0,,,33715112.0,-118066502.0,,,,,,,1,266.0,,60590995.06105,25218.0,1286.0,,96226.0,0.0,,1.0,,,,,2003.0,,,315202.0,997000.0,2015.0,681798.0,11823.28,0,,60590995061050.0,2000-2004,3,2000-2003,997.0,2001-2003,4 2001-2003
615561,13926235,,,,3.0,4.0,,,3.0,,,3955.0,3955.0,,,,,6059.0,,3.0,2.0,536.0,True,,33781529.0,-118082571.0,8250.0,1.0,,,1.0,,122,261.0,,60591100.083009,46314.0,1286.0,,96218.0,7.0,,,,,,,2000.0,1.0,,272962.0,571927.0,2015.0,298965.0,6725.02,0,,60591100083009.0,2000-2004,3,1997-2000,571.0,1999-2001,5 1999-2001
316453,13869570,,,,3.0,4.0,,,3.0,,,2160.0,2160.0,,,,,6059.0,,3.0,2.0,568.0,,,33866269.0,-117964097.0,4900.0,,,,,,122,261.0,,60590019.012001,24812.0,1286.0,,97041.0,0.0,,,,,,,1999.0,,,309002.0,427971.0,2015.0,118969.0,5053.06,0,,60590019012001.0,1995-1999,2,1997-2000,427.0,1997-1999,6 1997-1999
468885,14290607,,,,2.5,4.0,,,2.5,,,2921.0,2921.0,,,,,6059.0,,2.0,2.0,615.0,,,33695042.0,-117815852.0,5014.0,,,,,,1,261.0,,60590525.155001,52650.0,1286.0,275979.0,96943.0,0.0,,1.0,,,,,2006.0,,,509791.0,1068000.0,2015.0,558209.0,16096.42,0,,60590525155001.0,2005-2009,4,2003-2006,1068.0,2005-2007,2 2005-2007
588961,17193041,,,,5.0,5.0,,,5.0,,2647.0,4873.0,4873.0,,,2647.0,,6111.0,3.0,5.0,3.0,785.0,,,34158800.0,-118986417.0,34623.0,1.0,1067.0,,,1.0,1111,261.0,,61110058.012025,34278.0,2061.0,46736.0,96351.0,11.0,,,,,950.0,,1999.0,2.0,,919427.0,1838854.0,2015.0,919427.0,19704.28,0,,61110058012025.0,1995-1999,2,1997-2000,1838.0,1997-1999,6 1997-1999
160080,17178378,,,,3.0,5.0,,,3.0,,1347.0,3064.0,3064.0,,,1347.0,,6111.0,1.0,3.0,2.0,491.0,,,34216107.0,-119159838.0,4581.0,,,,,,1111,261.0,,61110031.002,13150.0,2061.0,,97101.0,10.0,,,,,,,2002.0,2.0,,201000.0,578000.0,2015.0,377000.0,7755.44,0,,61110031002000.0,2000-2004,3,2000-2003,578.0,2001-2003,4 2001-2003
200993,13944818,,,,2.5,3.0,,,2.5,,,2005.0,2005.0,,,,,6059.0,,2.0,2.0,424.0,,,33765703.0,-117975468.0,3898.0,,,,,,1,261.0,,60590888.021002,24832.0,1286.0,,97051.0,0.0,,1.0,,,,,2002.0,,,239852.0,499832.0,2015.0,259980.0,6263.38,0,,60590888021002.0,2000-2004,3,2000-2003,499.0,2001-2003,4 2001-2003
270743,11269145,1.0,,,3.0,3.0,,4.0,3.0,,,2985.0,2985.0,,,,,6037.0,,3.0,,,,2.0,34668262.0,-118176471.0,10331.0,,,,,,0100,261.0,LRA22*,60379010.112007,5534.0,3101.0,,97319.0,0.0,,,,1.0,,,2005.0,,,209300.0,279000.0,2015.0,69700.0,3080.59,0,,60379010112007.0,2005-2009,4,2003-2006,279.0,2003-2005,3 2003-2005
620092,11307692,1.0,,,3.0,5.0,,4.0,3.0,,,3238.0,3238.0,,,,,6037.0,,3.0,,,,2.0,34681856.0,-118191009.0,14664.0,,,,,,0100,261.0,LRR7000*,60379010.042,5534.0,3101.0,,97319.0,0.0,,,,1.0,,,2006.0,,,237100.0,316000.0,2015.0,78900.0,4844.91,0,,60379010042000.0,2005-2009,4,2003-2006,316.0,2005-2007,2 2005-2007
220201,11191702,1.0,,,3.0,3.0,,4.0,3.0,,,2377.0,2377.0,,,,,6037.0,,3.0,,,,2.0,34592587.0,-118171820.0,7114.0,,,,,,0100,261.0,PDR17000,60379102.071001,40227.0,3101.0,,97329.0,0.0,,,,1.0,,,2005.0,,,208200.0,278000.0,2015.0,69800.0,5908.53,0,,60379102071001.0,2005-2009,4,2003-2006,278.0,2003-2005,3 2003-2005
294132,11920924,1.0,,,4.0,4.0,,4.0,4.0,,,2380.0,2380.0,,,,,6037.0,,4.0,,,,2.0,34123496.0,-118078741.0,7172.0,,,,,,0100,261.0,LCRA05,60374800.112006,33837.0,3101.0,,96514.0,0.0,,,,1.0,,,2008.0,,,285483.0,459069.0,2015.0,173586.0,5610.93,0,,60374800112006.0,2005-2009,4,2006-2009,459.0,2007-2009,1 2007-2009
289822,14606558,,,,2.5,2.0,,,2.5,,,1154.0,1154.0,,,,,6059.0,,2.0,2.0,0.0,,,33701598.0,-117748886.0,,,,,,,1,266.0,,60590524.183021,52650.0,1286.0,403197.0,96954.0,0.0,,1.0,,,,,2004.0,,,167243.0,561650.0,2015.0,394407.0,9345.78,0,,60590524183021.0,2000-2004,3,2003-2006,561.0,2003-2005,3 2003-2005
323470,14736919,,,,2.0,2.0,,,2.0,,,1056.0,1056.0,,,,,6059.0,,2.0,1.0,0.0,,,33683491.0,-117651587.0,,,,,,,34,266.0,,60590524.272002,32380.0,1286.0,,96946.0,0.0,,,,,,,1996.0,,,116250.0,219471.0,2015.0,103221.0,2647.36,0,,60590524272002.0,1995-1999,2,1994-1997,219.0,1995-1997,7 1995-1997
112751,11146102,1.0,,,3.0,4.0,,4.0,3.0,,,1790.0,1790.0,,,,,6037.0,,3.0,,,,2.0,34396728.0,-118537221.0,9558.0,1.0,,,,1.0,010C,266.0,SCUR3,60379203.141017,54311.0,3101.0,26134.0,96373.0,0.0,,,,1.0,,,2000.0,,,202667.0,343684.0,2015.0,141017.0,5038.94,0,,60379203141017.0,2000-2004,3,1997-2000,343.0,1999-2001,5 1999-2001
239522,12065503,1.0,,,3.0,2.0,,,3.0,,,1322.0,1322.0,,,,,6037.0,,3.0,,,,2.0,34143427.0,-118254731.0,,1.0,,,,1.0,01HC,266.0,GLC3*,60373023.012007,45457.0,3101.0,273257.0,96329.0,0.0,,,,1.0,,,2008.0,,,356993.0,611988.0,2015.0,254995.0,6729.71,0,,60373023012000.0,2005-2009,4,2006-2009,611.0,2007-2009,1 2007-2009
537917,11233487,1.0,,,3.0,6.0,,4.0,3.0,,,3592.0,3592.0,,,,,6037.0,,3.0,,,,2.0,34546418.0,-118076037.0,5631.0,,,,,,0100,261.0,PDSP*,60379107.162004,40227.0,3101.0,,97328.0,0.0,,,,1.0,,,2004.0,,,191400.0,331800.0,2015.0,140400.0,6805.2,0,,60379107162004.0,2000-2004,3,2003-2006,331.0,2003-2005,3 2003-2005
591420,14606074,,,,2.5,3.0,,,2.5,,,1850.0,1850.0,,,,,6059.0,,2.0,2.0,0.0,,,33623180.0,-117821526.0,,,,,,,1,266.0,,60590626.044024,52650.0,1286.0,275784.0,96940.0,0.0,,1.0,,,,,2004.0,,,214970.0,873257.0,2015.0,658287.0,11994.76,0,,60590626044024.0,2000-2004,3,2003-2006,873.0,2003-2005,3 2003-2005
