ResponseId,Education,Education (reversed),Salary,MainBranch,Employment,RemoteWork,CodingActivities,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,DevType,OrgSize,Country,Age,Gender,Trans,Sexuality,Ethnicity,YearsCodePro,YearsCode
9504,4 Bachelor's,2 Bachelor's,113,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"School (i.e., University, College, etc)",,,"Developer, front-end","1,000 to 4,999 employees",United States of America,45-54 years old,Man,No,Straight / Heterosexual,White,20-25,25-30
9511,4 Bachelor's,2 Bachelor's,140,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,,Pluralsight,"Developer, front-end","1,000 to 4,999 employees",United States of America,,,,,,10-May,10-May
9516,2 College study,4 College study,220,I am a developer by profession,"Employed, full-time",Fully remote,Freelance/contract work,Books / Physical media,Technical documentation,Udemy,"Developer, front-end",100 to 499 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,25-30,25-30
9532,5 Master's,1 Master's,400,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack","1,000 to 4,999 employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,Black,15-Oct,15-20
9560,4 Bachelor's,2 Bachelor's,110,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Coursera,"Developer, full-stack","10,000 or more employees",United States of America,45-54 years old,Man,No,Straight / Heterosexual,White,20-25,25-30
9562,5 Master's,1 Master's,240,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Udemy,"Developer, full-stack","1,000 to 4,999 employees",United States of America,45-54 years old,Man,No,Straight / Heterosexual,White,25-30,40-45
9565,4 Bachelor's,2 Bachelor's,210,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack",500 to 999 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-20,15-20
9580,5 Master's,1 Master's,139,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack",20 to 99 employees,United States of America,25-34 years old,Woman,No,Bisexual,White,10-May,15-Oct
9582,2 College study,4 College study,90,I am a developer by profession,"Employed, full-time",Full in-person,I don't code outside o,Books / Physical media,Technical documentation,,"Engineer, data",10 to 19 employees,United States of America,35-44 years old,Woman,No,Straight / Heterosexual,White,15-20,20-25
9592,4 Bachelor's,2 Bachelor's,183,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Engineer, site reliability",100 to 499 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,10-May,20-25
9619,4 Bachelor's,2 Bachelor's,828,I am a developer by profession,"Employed, full-time",Full in-person,I don't code outside o,"School (i.e., University, College, etc)",,Codecademy,"Developer, full-stack",20 to 99 employees,United States of America,18-24 years old,Woman,No,Straight / Heterosexual,White;North American,0-5,10-May
9620,4 Bachelor's,2 Bachelor's,90,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,Hobby,Books / Physical media,,,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",United States of America,25-34 years old,Man,No,Prefer not to say,White,10-May,15-Oct
9622,4 Bachelor's,2 Bachelor's,68,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,Data scientist or machine learning specialist,I don���,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,0-5
9633,5 Master's,1 Master's,240,I am a developer by profession,"Employed, part-time","Hybrid (some remote, some in-person)",School or academic work,Books / Physical media,Technical documentation,Udacity,Educator,500 to 999 employees,United States of America,65 years or older,Man,No,Straight / Heterosexual,White,25-30,30-35
9635,6 Doctorate,0 Doctorate,250,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,Coursera,Data scientist or machine learning specialist,"5,000 to 9,999 employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
9651,4 Bachelor's,2 Bachelor's,97,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,Other (please specify):,100 to 499 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
9655,4 Bachelor's,2 Bachelor's,290,I am a developer by profession,"Employed, full-time",Full in-person,I don't code outside o,Books / Physical media,Technical documentation,,"Developer, full-stack","10,000 or more employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,15-Oct,15-Oct
9683,4 Bachelor's,2 Bachelor's,115,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Programming Games,,"Developer, front-end",20 to 99 employees,United States of America,55-64 years old,Woman,No,Straight / Heterosexual,Asian,30-35,30-35
9685,4 Bachelor's,2 Bachelor's,100,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,Udemy,"Developer, back-end",I don���,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-Oct,15-20
9687,2 College study,4 College study,100,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack",2 to 9 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
9704,4 Bachelor's,2 Bachelor's,117,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don't code outside o,Books / Physical media,Technical documentation,Udemy,"Developer, full-stack",100 to 499 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-20,20-25
9731,5 Master's,1 Master's,94,I am a developer by profession,"Employed, full-time",Full in-person,I don't code outside o,Books / Physical media,,,Data scientist or machine learning specialist,"5,000 to 9,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
9736,4 Bachelor's,2 Bachelor's,2250,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,I don't code outside o,Books / Physical media,,,Data scientist or machine learning specialist,10 to 19 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-Oct,15-Oct
9737,4 Bachelor's,2 Bachelor's,77,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,"School (i.e., University, College, etc)",,,"Developer, front-end",100 to 499 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
9752,6 Doctorate,0 Doctorate,200,I am a developer by profession,"Employed, full-time",Fully remote,Contribute to open-source projects,Other (please specify):,,,Scientist,20 to 99 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-Oct,20-25
9754,4 Bachelor's,2 Bachelor's,135,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"School (i.e., University, College, etc)",,Other,"Developer, full-stack","10,000 or more employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
9763,4 Bachelor's,2 Bachelor's,140,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Codecademy,"Engineer, data","1,000 to 4,999 employees",United States of America,35-44 years old,"Or, in your own words:",Prefer not to say,Prefer not to say,"Or, in your own words:",15-Oct,15-Oct
9769,5 Master's,1 Master's,154,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Coursera,"Developer, full-stack","1,000 to 4,999 employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,White;North American,15-Oct,15-20
9771,2 College study,4 College study,250,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Coursera,Product manager,"1,000 to 4,999 employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,White;Ethnoreligious group,10-May,10-May
9780,4 Bachelor's,2 Bachelor's,110,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,Books / Physical media,Technical documentation,,"Developer, full-stack",500 to 999 employees,United States of America,35-44 years old,Man,"Or, in your own words:",Straight / Heterosexual,Prefer not to say,10-May,10-May
9784,4 Bachelor's,2 Bachelor's,200,I am a developer by profession,"Employed, full-time",Fully remote,Contribute to open-source projects,Books / Physical media,,,"Developer, full-stack","10,000 or more employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
9797,4 Bachelor's,2 Bachelor's,200,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,Other (please specify):,"10,000 or more employees",United States of America,45-54 years old,Man,No,Straight / Heterosexual,White,10-May,15-20
9802,2 College study,4 College study,335,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, back-end","10,000 or more employees",United States of America,35-44 years old,Woman,Yes,Bisexual;Gay or Lesbian;Queer,White,15-Oct,20-25
9807,4 Bachelor's,2 Bachelor's,120,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,"Developer, desktop or enterprise applications",20 to 99 employees,United States of America,18-24 years old,"Man;Non-binary, genderqueer, or gender non-conforming",No,Straight / Heterosexual,White,0-5,10-May
9822,2 College study,4 College study,101,I am a developer by profession,"Employed, full-time",Full in-person,I don't code outside o,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,Project manager,20 to 99 employees,United States of America,45-54 years old,Man,No,Straight / Heterosexual,White,25-30,25-30
9823,6 Doctorate,0 Doctorate,105,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,,,"Engineer, data",20 to 99 employees,United States of America,45-54 years old,Man,No,Straight / Heterosexual,White,10-May,15-Oct
9852,2 College study,4 College study,125,I am a developer by profession,"Employed, full-time",Fully remote,Bootstrapping a business,Books / Physical media,Technical documentation,Pluralsight,"Developer, full-stack",100 to 499 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White;Caribbean;Hispanic or Latino/a,10-May,15-20
9853,3 Associate,3 Associate,168,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,,Udemy,"Developer, front-end",100 to 499 employees,United States of America,25-34 years old,Man,No,,White,10-May,15-Oct
9870,3 Associate,3 Associate,1104,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Coursera,"Developer, full-stack","1,000 to 4,999 employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
9876,5 Master's,1 Master's,155,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, full-stack","10,000 or more employees",United States of America,35-44 years old,Man,No,,White,15-Oct,15-20
9887,4 Bachelor's,2 Bachelor's,78,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Udemy,"Developer, front-end",100 to 499 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White;Hispanic or Latino/a,0-5,0-5
9896,4 Bachelor's,2 Bachelor's,145,I am a developer by profession,"Employed, full-time",Fully remote,Bootstrapping a business,Books / Physical media,,Udemy,"Developer, front-end",2 to 9 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-20,20-25
9912,5 Master's,1 Master's,108,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,"Other online resources (e.g., videos, blogs, forum)",Blogs,,"Developer, back-end","10,000 or more employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,15-Oct
9924,1 Secondary,5 Secondary,65,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack",20 to 99 employees,United States of America,18-24 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
9927,4 Bachelor's,2 Bachelor's,150,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, back-end","10,000 or more employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-20,20-25
9930,4 Bachelor's,2 Bachelor's,300,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,,,"Engineer, data",100 to 499 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-20,20-25
9933,4 Bachelor's,2 Bachelor's,210,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White;European;Asian;Biracial,15-Oct,15-20
9940,4 Bachelor's,2 Bachelor's,130,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,,Udemy,DevOps specialist,"5,000 to 9,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White;North American,10-May,10-May
9943,4 Bachelor's,2 Bachelor's,95,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, back-end","1,000 to 4,999 employees",United States of America,18-24 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
9952,3 Associate,3 Associate,120,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Codecademy,"Developer, front-end",100 to 499 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-Oct,15-20
9958,4 Bachelor's,2 Bachelor's,138,I am a developer by profession,"Employed, full-time",Fully remote,Bootstrapping a business,Books / Physical media,Technical documentation,,"Developer, front-end",10 to 19 employees,United States of America,25-34 years old,"Non-binary, genderqueer, or gender non-conforming",No,Straight / Heterosexual,Hispanic or Latino/a,0-5,15-Oct
9971,4 Bachelor's,2 Bachelor's,125,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack",I don���,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,15-Oct,15-20
9972,2 College study,4 College study,115,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,Data scientist or machine learning specialist,"1,000 to 4,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,Prefer not to say,10-May,10-May
9979,4 Bachelor's,2 Bachelor's,76,I am a developer by profession,"Employed, full-time",Full in-person,I don't code outside o,"School (i.e., University, College, etc)",,,"Developer, full-stack",100 to 499 employees,United States of America,25-34 years old,Woman,No,Prefer not to say,White,0-5,15-Oct
9995,6 Doctorate,0 Doctorate,100,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,Friend or family member,Technical documentation,Coursera,Data scientist or machine learning specialist,100 to 499 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,South Asian,10-May,15-Oct
10011,4 Bachelor's,2 Bachelor's,55,I am a developer by profession,"Employed, full-time",Full in-person,Freelance/contract work,Books / Physical media,,,"Developer, front-end","1,000 to 4,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,North American,0-5,10-May
10012,3 Associate,3 Associate,180,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,Engineering manager,"10,000 or more employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,15-Oct,15-20
10023,5 Master's,1 Master's,204,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,Pluralsight,"Developer, back-end",20 to 99 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-20,20-25
10026,4 Bachelor's,2 Bachelor's,84,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don't code outside o,"School (i.e., University, College, etc)",,,"Developer, mobile","1,000 to 4,999 employees",United States of America,18-24 years old,Woman,No,Straight / Heterosexual,White,0-5,0-5
10028,5 Master's,1 Master's,250,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,,,"Engineer, site reliability",500 to 999 employees,United States of America,45-54 years old,Man,No,Straight / Heterosexual,White,20-25,30-35
10029,4 Bachelor's,2 Bachelor's,107,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Friend or family member,Technical documentation,Udemy,"Developer, front-end","1,000 to 4,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,Asian,10-May,15-Oct
10033,4 Bachelor's,2 Bachelor's,120,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,,,"Developer, full-stack","1,000 to 4,999 employees",United States of America,18-24 years old,Man,No,Bisexual,White,0-5,0-5
10039,4 Bachelor's,2 Bachelor's,130,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,"School (i.e., University, College, etc)",,,Database administrator,"1,000 to 4,999 employees",United States of America,45-54 years old,Man,No,Straight / Heterosexual,White,20-25,20-25
10046,3 Associate,3 Associate,36,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack",100 to 499 employees,United States of America,18-24 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
10048,4 Bachelor's,2 Bachelor's,70,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack","1,000 to 4,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White;North American,10-May,15-20
10049,5 Master's,1 Master's,175,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"School (i.e., University, College, etc)",,,Data scientist or machine learning specialist,20 to 99 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,15-Oct
10052,3 Associate,3 Associate,110,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Other (please specify):,Books / Physical media,,,"Developer, front-end",500 to 999 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,"Or, in your own words:",10-May,15-Oct
10057,4 Bachelor's,2 Bachelor's,165,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,Codecademy,"Developer, front-end",100 to 499 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,15-Oct
10063,4 Bachelor's,2 Bachelor's,2250,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack","10,000 or more employees",United States of America,18-24 years old,Man,No,Straight / Heterosexual,White;North American,0-5,15-Oct
10079,5 Master's,1 Master's,400,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,"Engineer, data",500 to 999 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,Asian;East Asian,0-5,15-Oct
10085,4 Bachelor's,2 Bachelor's,70,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack","10,000 or more employees",United States of America,45-54 years old,Man,No,Straight / Heterosexual,White;European;Ethnoreligious group,15-20,25-30
10099,3 Associate,3 Associate,1800,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, front-end","5,000 to 9,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,0-5
10100,2 College study,4 College study,120,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,,,"Developer, full-stack",500 to 999 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,20-25,25-30
10105,2 College study,4 College study,250,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,,Udemy,Data scientist or machine learning specialist,"1,000 to 4,999 employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,20-25,30-35
10111,4 Bachelor's,2 Bachelor's,120,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,,,"Developer, back-end",10 to 19 employees,United States of America,55-64 years old,Man,No,Straight / Heterosexual,White,30-35,40-45
10117,4 Bachelor's,2 Bachelor's,2250,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,"School (i.e., University, College, etc)",,,"Developer, full-stack","10,000 or more employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,15-Oct,15-Oct
10128,5 Master's,1 Master's,320,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Coursera,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,20-25,20-25
10136,4 Bachelor's,2 Bachelor's,196,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Coursera,"Developer, full-stack","10,000 or more employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,15-Oct
10162,4 Bachelor's,2 Bachelor's,90,I am a developer by profession,"Employed, part-time","Hybrid (some remote, some in-person)",I don't code outside o,Coding Bootcamp,,,"Developer, front-end",500 to 999 employees,United States of America,18-24 years old,Woman,No,Straight / Heterosexual,White,0-5,0-5
10205,4 Bachelor's,2 Bachelor's,145,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don't code outside o,Books / Physical media,,,"Developer, front-end","1,000 to 4,999 employees",United States of America,35-44 years old,Man,No,Bisexual,White,15-Oct,15-20
10206,5 Master's,1 Master's,250,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don't code outside o,Friend or family member,,,"Developer, embedded applications or devices",500 to 999 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White;European;North American,15-Oct,15-Oct
10208,4 Bachelor's,2 Bachelor's,80,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Interactive tutorial,,"Developer, front-end",20 to 99 employees,United States of America,35-44 years old,"Man;Non-binary, genderqueer, or gender non-conforming",No,Bisexual,White,0-5,10-May
10209,5 Master's,1 Master's,150,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Coursera,Data scientist or machine learning specialist,"1,000 to 4,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
10212,4 Bachelor's,2 Bachelor's,112,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don't code outside o,Books / Physical media,Technical documentation,Other,"Developer, full-stack",I don���,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,20-25,20-25
10227,4 Bachelor's,2 Bachelor's,1440,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,,,"Developer, front-end",20 to 99 employees,United States of America,45-54 years old,Man,No,Straight / Heterosexual,White,20-25,20-25
10243,4 Bachelor's,2 Bachelor's,130,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, front-end",20 to 99 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White;European,10-May,15-Oct
10275,4 Bachelor's,2 Bachelor's,170,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"School (i.e., University, College, etc)",,,"Developer, full-stack",100 to 499 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-20,15-20
10276,2 College study,4 College study,125,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,On the job training,,,"Developer, desktop or enterprise applications","5,000 to 9,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,European,10-May,10-May
10281,4 Bachelor's,2 Bachelor's,1260,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"School (i.e., University, College, etc)",,,"Developer, mobile","1,000 to 4,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,0-5
10286,2 College study,4 College study,108,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Friend or family member,Technical documentation,,"Developer, full-stack",500 to 999 employees,United States of America,18-24 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
10287,5 Master's,1 Master's,78,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,Books / Physical media,,,"Developer, game or graphics",100 to 499 employees,United States of America,18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,0-5,0-5
10291,4 Bachelor's,2 Bachelor's,107,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Pluralsight,"Developer, full-stack",100 to 499 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,15-20
10292,4 Bachelor's,2 Bachelor's,200,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Written Tutorials,,"Developer, back-end","10,000 or more employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
10299,4 Bachelor's,2 Bachelor's,500,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,Books / Physical media,Technical documentation,,"Developer, front-end","1,000 to 4,999 employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-20,20-25
10303,5 Master's,1 Master's,127,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,,Coursera,"Developer, full-stack","1,000 to 4,999 employees",United States of America,45-54 years old,Woman,No,Straight / Heterosexual,White,0-5,15-Oct
10330,5 Master's,1 Master's,220,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, back-end",100 to 499 employees,United States of America,25-34 years old,Man,No,Bisexual;Queer,White,0-5,10-May
10331,4 Bachelor's,2 Bachelor's,2250,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,,,"Developer, full-stack","5,000 to 9,999 employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,White;Black,15-20,20-25
10337,4 Bachelor's,2 Bachelor's,175,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Pluralsight,"Engineer, data","5,000 to 9,999 employees",United States of America,45-54 years old,Man,No,Bisexual,White,25-30,30-35
10340,4 Bachelor's,2 Bachelor's,105,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,Books / Physical media,,,"Developer, front-end",500 to 999 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,15-Oct
10344,4 Bachelor's,2 Bachelor's,105,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, mobile","1,000 to 4,999 employees",United States of America,18-24 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
10353,4 Bachelor's,2 Bachelor's,175,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"School (i.e., University, College, etc)",,Udemy,"Developer, mobile",100 to 499 employees,United States of America,55-64 years old,Man,No,Straight / Heterosexual,White,30-35,35-40
10357,4 Bachelor's,2 Bachelor's,73,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,,,"Developer, full-stack",500 to 999 employees,United States of America,35-44 years old,"Non-binary, genderqueer, or gender non-conforming",Yes,Bisexual,White,15-Oct,20-25
10358,5 Master's,1 Master's,1752,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,,,"Developer, full-stack","1,000 to 4,999 employees",United States of America,45-54 years old,Man,No,Straight / Heterosexual,White,25-30,25-30
10362,6 Doctorate,0 Doctorate,135,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,Data scientist or machine learning specialist,20 to 99 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,15-Oct
